0.15.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/twisterrob/gradle/plugin/vcs/net.twisterrob.gradle.plugin.vcs.gradle.plugin/0.15.1/net.twisterrob.gradle.plugin.vcs.gradle.plugin-0.15.1.jar returned status 404
0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/twisterrob/gradle/plugin/vcs/net.twisterrob.gradle.plugin.vcs.gradle.plugin/0.16/net.twisterrob.gradle.plugin.vcs.gradle.plugin-0.16.jar returned status 404
0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/twisterrob/gradle/plugin/vcs/net.twisterrob.gradle.plugin.vcs.gradle.plugin/0.17/net.twisterrob.gradle.plugin.vcs.gradle.plugin-0.17.jar returned status 404
0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/twisterrob/gradle/plugin/vcs/net.twisterrob.gradle.plugin.vcs.gradle.plugin/0.18/net.twisterrob.gradle.plugin.vcs.gradle.plugin-0.18.jar returned status 404
0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/twisterrob/gradle/plugin/vcs/net.twisterrob.gradle.plugin.vcs.gradle.plugin/0.19/net.twisterrob.gradle.plugin.vcs.gradle.plugin-0.19.jar returned status 404
0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/twisterrob/gradle/plugin/vcs/net.twisterrob.gradle.plugin.vcs.gradle.plugin/0.20/net.twisterrob.gradle.plugin.vcs.gradle.plugin-0.20.jar returned status 404
